movie_id,genre
0002844,Crime
0002844,Drama
0004936,Comedy
0004936,Short
0004972,Drama
0004972,History
0004972,Romance
0004972,War
0005078,Drama
0006684,Short
0006684,Comedy
0006689,Short
0006689,Comedy
0007264,Comedy
0007264,Short
0007880,Short
0007880,Comedy
0008133,Short
0008133,Comedy
0008133,Drama
0008133,Romance
0009018,Short
0009018,Comedy
0009968,Drama
0009968,Romance
0011267,Biography
0011267,Comedy
0011267,Drama
0011267,Sport
0011508,Short
0011508,Comedy
0011508,Romance
0011541,Short
0011541,Comedy
0011607,Comedy
0011607,Drama
0011607,Horror
0011717,Action
0011717,Adventure
0012349,Comedy
0012349,Drama
0012349,Family
0012364,Drama
0012364,Fantasy
0012364,Horror
0012651,Crime
0012651,Drama
0012651,Horror
0012651,Mystery
0013025,Short
0013025,Comedy
0013025,Family
0013086,Crime
0013086,Mystery
0013086,Thriller
0013427,Documentary
0013442,Horror
0014142,Drama
0014142,Romance
0014341,Comedy
0014341,Family
0014429,Comedy
0014429,Romance
0014429,Thriller
0014538,Comedy
0014872,Short
0015002,Comedy
0015064,Drama
0015163,Action
0015163,Comedy
0015324,Comedy
0015324,Fantasy
0015361,Drama
0015400,Adventure
0015400,Family
0015400,Fantasy
0015400,Romance
0015624,Drama
0015624,Romance
0015624,War
0015648,Drama
0015648,History
0015864,Adventure
0015864,Comedy
0015864,Family
0015864,Romance
0015864,Western
0015881,Drama
0016332,Comedy
0016332,Family
0016332,Romance
0016847,Drama
0016847,Fantasy
0016847,Horror
0017075,Crime
0017075,Drama
0017075,Mystery
0017075,Thriller
0017136,Drama
0017136,Sci-Fi
0017196,Drama
0017196,Romance
0017925,Action
0017925,Adventure
0017925,Comedy
0017925,Romance
0017925,War
0018217,Drama
0018217,History
0018455,Drama
0018455,Romance
0018578,Drama
0018578,Romance
0018578,War
0018578,Action
0018742,Comedy
0018742,Romance
0018742,Family
0018742,Drama
0018773,Comedy
0018773,Romance
0018806,Drama
0018806,Romance
